Date,AtmPressure,WindSpeed,WindDirection
2010-00-00 11:06:31,+30.58,+21.0,44
2010-00-00 11:34:37,+29.07,+21.9,43
2010-00-00 12:02:46,+30.98,+22.5,41
2010-00-00 12:30:45,+30.98,+22.7,40
2010-00-00 12:58:54,+29.46,+22.6,43
2010-00-00 13:27:02,+29.97,+22.6,40
2010-00-00 13:55:11,+30.88,+22.6,40
2010-00-00 14:23:20,+31.60,+22.6,37
2010-00-00 14:51:33,+32.21,+22.6,37
2010-00-00 15:19:39,+32.51,+22.6,37
2010-00-00 15:47:48,+31.11,+22.0,36
2010-00-00 16:15:51,+31.20,+22.3,36
2010-00-00 16:44:05,+30.29,+22.2,37
2010-00-00 17:12:11,+29.77,+22.1,38
2010-00-15 16:35:00,+13.31,+18.4,72
2010-00-00 00:21:41,+12.20,+18.2,73
2010-00-00 00:49:37,+12.79,+18.1,73
2010-00-00 01:17:38,+11.19,+18.0,73
2010-00-00 01:45:31,+11.78,+17.8,73
2010-00-00 02:13:43,+11.58,+17.7,73
2010-00-00 02:41:51,+11.08,+17.6,73
2010-00-00 03:09:45,+11.87,+17.5,71
2010-00-00 03:37:33,+11.77,+17.3,73
2010-00-00 04:05:44,+11.97,+17.3,73
2010-00-00 04:33:53,+11.09,+17.2,70
2010-00-00 05:01:47,+13.41,+17.2,73
2010-00-00 05:29:44,+15.34,+17.5,73
2010-00-00 05:57:42,+16.56,+17.5,72
2010-00-00 06:25:35,+18.49,+17.6,72
2010-00-00 06:53:48,+21.15,+17.8,63
2010-00-00 07:21:55,+25.40,+18.0,53
2010-00-00 07:50:06,+27.44,+18.3,48
2010-00-00 08:18:08,+27.74,+18.5,48
2010-00-00 08:46:20,+28.05,+18.6,47
2010-00-00 09:14:18,+29.46,+18.9,46
2010-00-00 09:42:19,+29.77,+19.3,46
2010-00-00 10:10:28,+30.18,+20.1,45
2010-00-00 10:38:22,+29.67,+20.7,45
1001+2210
